Trailing Status,Leading Status,Item,Quantity,Unit of Measure
700,700,1003338-000000,2,Eaches
700,700,1003339-000000,3,Eaches
700,700,1004135-000000,4,Eaches
700,700,1004177-000000,4,Eaches
700,700,1004358-000000,4,Eaches
700,700,1004595-000000,3,Eaches
401,401,1004360-000000,36,Eaches
401,401,1006130-000000,36,Eaches
700,700,1002363-000000,20,Eaches
700,700,1002042-000000,10,Eaches
700,700,1002045-000000,10,Eaches
700,700,1002363-000000,5,Eaches
700,700,1002566-000000,10,Eaches
700,700,1002567-000000,10,Eaches
700,700,1003615-000000,10,Eaches
700,700,1003616-000000,10,Eaches
700,700,1003617-000000,10,Eaches
700,700,1003618-000000,10,Eaches
400,400,1000164-000000,1,Eaches
650,650,1000164-000000,1,Eaches
400,400,1000165-000000,1,Eaches
650,650,1000165-000000,1,Eaches
400,400,1000166-000000,1,Eaches
650,650,1000166-000000,1,Eaches
400,400,1000167-000000,1,Eaches
650,650,1000167-000000,1,Eaches
400,400,1000303-000000,1,Eaches
650,650,1000303-000000,1,Eaches
400,400,1000304-000000,1,Eaches
650,650,1000304-000000,1,Eaches
400,400,1000305-000000,1,Eaches
650,650,1000305-000000,1,Eaches
400,400,1000306-000000,1,Eaches
650,650,1000306-000000,1,Eaches
400,400,1000307-000000,1,Eaches
650,650,1000307-000000,1,Eaches
700,700,1002190-000000,50,Eaches